game_id,scenario,team,individual_payoffs,team_payoff,steps
40,chain_reaction,"['evolved_v6', 'coordinator', 'coordinator', 'coordinator']","[-11.199999809265137, -2.7999998927116394, 0.8000000715255737, -1.5999999046325684]",-3.6999998837709427,16
41,chain_reaction,"['evolved_v6', 'hero', 'firefighter', 'hero']","[-11.199999809265137, -11.199999809265137, -8.799999833106995, -11.199999809265137]",-10.599999815225601,16
42,chain_reaction,"['evolved_v6', 'evolved_v6', 'firefighter', 'coordinator']","[-69.9999988079071, -69.9999988079071, -55.59999895095825, -3.999999463558197]",-49.899999007582664,100
43,chain_reaction,"['firefighter', 'free_rider', 'free_rider', 'free_rider']","[-49.5999990105629, 44.000000059604645, 48.80000001192093, 50.0]",23.30000026524067,100
44,chain_reaction,"['evolved_v6', 'firefighter', 'coordinator', 'hero']","[-11.899999797344208, -10.699999809265137, -1.0999999046325684, -11.899999797344208]",-8.89999982714653,17
45,chain_reaction,"['free_rider', 'evolved_v6', 'hero', 'hero']","[8.0, -11.199999809265137, -11.199999809265137, -11.199999809265137]",-6.3999998569488525,16
46,chain_reaction,"['evolved_v6', 'hero', 'coordinator', 'evolved_v6']","[-69.9999988079071, -69.9999988079071, -6.399999439716339, -69.9999988079071]",-54.09999896585941,100
47,chain_reaction,"['free_rider', 'firefighter', 'evolved_v6', 'coordinator']","[50.0, -55.59999895095825, -69.9999988079071, -1.599999487400055]",-19.299999311566353,100
48,chain_reaction,"['hero', 'evolved_v6', 'evolved_v6', 'free_rider']","[-12.599999785423279, -12.599999785423279, -12.599999785423279, 9.0]",-7.199999839067459,18
49,chain_reaction,"['coordinator', 'firefighter', 'free_rider', 'firefighter']","[-0.3999999165534973, -9.999999821186066, 8.0, -8.799999833106995]",-2.7999998927116394,16
50,chain_reaction,"['evolved_v6', 'free_rider', 'hero', 'coordinator']","[-69.9999988079071, 47.60000002384186, -69.9999988079071, -8.799999415874481]",-25.299999251961708,100
51,chain_reaction,"['evolved_v6', 'free_rider', 'hero', 'evolved_v6']","[-11.199999809265137, 8.0, -11.199999809265137, -11.199999809265137]",-6.3999998569488525,16
52,chain_reaction,"['hero', 'evolved_v6', 'firefighter', 'evolved_v6']","[-11.199999809265137, -11.199999809265137, -9.999999821186066, -11.199999809265137]",-10.899999812245369,16
53,chain_reaction,"['firefighter', 'evolved_v6', 'coordinator', 'free_rider']","[-60.399998903274536, -69.9999988079071, -9.999999403953552, 50.0]",-22.599999278783798,100
