game_id,scenario,team,individual_payoffs,team_payoff,steps
119,sparse_heroics,"['evolved', 'evolved_v3', 'coordinator', 'liar']","[1.8999995589256287, 50.0, -16.300000607967377, -11.100000560283661]",6.124999597668648,100
120,overcrowding,"['free_rider', 'free_rider', 'evolved_v4', 'coordinator']","[47.799999952316284, 46.699999928474426, 50.0, 2.69999897480011]",36.799999713897705,100
121,mixed_motivation,"['evolved', 'liar', 'free_rider', 'hero']","[-6.100001215934753, 5.999999046325684, 45.59999990463257, -60.00000238418579]",-3.625001162290573,100
122,rest_trap,"['liar', 'evolved_v3', 'evolved_v3', 'evolved']","[1.5999999791383743, 6.5, 6.5, 2.2999999821186066]",4.224999990314245,13
123,sparse_heroics,"['liar', 'firefighter', 'hero', 'coordinator']","[-8.500000536441803, -63.10000103712082, -80.0000011920929, -17.600000619888306]",-42.300000846385956,100
124,greedy_neighbor,"['hero', 'evolved', 'liar', 'liar']","[-100.0, -26.5, 0.5, 0.5]",-31.375,100
125,rest_trap,"['evolved_v5', 'liar', 'coordinator', 'liar']","[6.5, 2.999999985098839, 2.2999999821186066, -0.5000000298023224]",2.8249999843537807,13
126,mixed_motivation,"['hero', 'free_rider', 'free_rider', 'free_rider']","[-60.00000238418579, 47.799999952316284, 48.89999997615814, 48.89999997615814]",21.399999380111694,100
127,trivial_cooperation,"['evolved_v5', 'evolved_v3', 'free_rider', 'evolved_v3']","[6.5, 6.5, 6.5, 6.5]",6.5,13
128,mixed_motivation,"['evolved_v3', 'evolved_v5', 'liar', 'hero']","[50.0, 50.0, -3.9000011682510376, -60.00000238418579]",9.024999111890793,100
129,deceptive_calm,"['evolved_v4', 'hero', 'coordinator', 'hero']","[50.0, -40.00000059604645, 1.3999996781349182, -40.00000059604645]",-7.150000378489494,100
130,trivial_cooperation,"['free_rider', 'firefighter', 'firefighter', 'hero']","[6.5, -5.5, -5.5, -6.5]",-2.75,13
131,early_containment,"['evolved', 'evolved_v3', 'firefighter', 'firefighter']","[2.0, 50.0, -40.0, -41.0]",-7.25,100
132,mixed_motivation,"['liar', 'coordinator', 'free_rider', 'firefighter']","[10.399999141693115, -2.8000011444091797, 46.699999928474426, -54.5000022649765]",-0.05000108480453491,100
133,sparse_heroics,"['free_rider', 'firefighter', 'liar', 'evolved']","[43.499999940395355, -67.0000010728836, -0.7000004649162292, -11.100000560283661]",-8.825000539422035,100
134,chain_reaction,"['free_rider', 'evolved_v4', 'evolved_v5', 'firefighter']","[46.40000003576279, 50.0, 50.0, -62.79999887943268]",20.900000289082527,100
135,greedy_neighbor,"['free_rider', 'evolved_v3', 'evolved', 'evolved_v4']","[44.0, 50.0, -19.0, 50.0]",31.25,100
136,greedy_neighbor,"['evolved_v3', 'coordinator', 'evolved_v5', 'hero']","[6.5, -4.0, 6.5, -13.0]",-1.0,13
137,rest_trap,"['hero', 'evolved', 'evolved', 'evolved_v3']","[-20.000000298023224, 16.399999856948853, 24.099999889731407, 50.0]",17.62499986216426,100
138,greedy_neighbor,"['evolved', 'hero', 'firefighter', 'hero']","[-17.5, -100.0, -88.0, -100.0]",-76.375,100
139,trivial_cooperation,"['firefighter', 'firefighter', 'liar', 'evolved']","[-3.5, -5.5, 1.5, -4.5]",-3.0,13
140,mixed_motivation,"['firefighter', 'hero', 'hero', 'evolved_v4']","[-49.00000214576721, -60.00000238418579, -60.00000238418579, 50.0]",-29.7500017285347,100
141,deceptive_calm,"['evolved_v3', 'evolved_v5', 'evolved_v4', 'evolved']","[43.0, 43.0, 43.0, 6.999999761581421]",33.999999940395355,86
142,greedy_neighbor,"['coordinator', 'liar', 'evolved', 'evolved_v5']","[-2.5, 0.5, 2.0, 6.5]",1.625,13
143,early_containment,"['firefighter', 'free_rider', 'hero', 'evolved_v3']","[-6.5, 6.5, -6.5, 6.5]",0.0,13
144,mixed_motivation,"['coordinator', 'liar', 'hero', 'coordinator']","[-0.8000001907348633, -0.8000001907348633, -9.600000381469727, -0.8000001907348633]",-3.000000238418579,16
145,mixed_motivation,"['liar', 'liar', 'firefighter', 'firefighter']","[-0.6000010967254639, -2.8000011444091797, -45.70000207424164, -53.400002241134644]",-25.62500163912773,100
146,rest_trap,"['evolved_v3', 'evolved', 'firefighter', 'hero']","[7.0, 4.199999988079071, -2.100000038743019, -2.8000000417232513]",1.5749999769032001,14
147,chain_reaction,"['evolved_v5', 'evolved_v3', 'hero', 'firefighter']","[50.0, 50.0, -69.9999988079071, -56.79999893903732]",-6.699999436736107,100
148,early_containment,"['liar', 'evolved', 'evolved_v5', 'free_rider']","[9.0, 15.0, 50.0, 46.0]",30.0,100
149,rest_trap,"['evolved', 'liar', 'firefighter', 'coordinator']","[2.999999985098839, 5.0999999940395355, -1.9000000357627869, 2.2999999821186066]",2.1249999813735485,13
150,overcrowding,"['hero', 'firefighter', 'free_rider', 'coordinator']","[-60.00000238418579, -52.300002217292786, 48.89999997615814, -0.6000010967254639]",-16.000001430511475,100
151,sparse_heroics,"['hero', 'evolved_v5', 'evolved_v4', 'liar']","[-80.0000011920929, 50.0, 50.0, -12.40000057220459]",1.8999995589256287,100
152,sparse_heroics,"['firefighter', 'hero', 'free_rider', 'evolved_v3']","[-67.0000010728836, -80.0000011920929, 47.39999997615814, 50.0]",-12.40000057220459,100
153,trivial_cooperation,"['evolved_v4', 'firefighter', 'evolved_v4', 'liar']","[6.5, -6.5, 6.5, 3.5]",2.5,13
154,chain_reaction,"['free_rider', 'coordinator', 'evolved_v3', 'evolved']","[44.000000059604645, -8.799999415874481, 50.0, -12.399999380111694]",18.200000315904617,100
155,chain_reaction,"['free_rider', 'liar', 'evolved_v5', 'coordinator']","[48.80000001192093, -2.799999475479126, 50.0, -2.799999475479126]",23.30000026524067,100
156,sparse_heroics,"['free_rider', 'evolved_v5', 'evolved', 'hero']","[48.69999998807907, 50.0, -21.500000655651093, -80.0000011920929]",-0.7000004649162292,100
157,early_containment,"['hero', 'firefighter', 'coordinator', 'hero']","[-6.5, -4.5, 0.5, -6.5]",-4.25,13
158,deceptive_calm,"['liar', 'free_rider', 'evolved_v4', 'liar']","[15.699999809265137, 44.5, 44.5, 12.999999791383743]",29.42499990016222,89
159,mixed_motivation,"['liar', 'hero', 'evolved_v4', 'evolved_v5']","[12.599999189376831, -60.00000238418579, 50.0, 50.0]",13.14999920129776,100
160,greedy_neighbor,"['liar', 'free_rider', 'free_rider', 'evolved']","[-7.0, 45.5, 50.0, -22.0]",16.625,100
